Year,Month,ALA SeaLevel (mm),CAR SeaLevel (mm),CEA SeaLevel (mm),CWP SeaLevel (mm),MID SeaLevel (mm),NEA SeaLevel (mm),NEF SeaLevel (mm),NPL SeaLevel (mm),NWP SeaLevel (mm),SEA SeaLevel (mm),SPL SeaLevel (mm),SWP SeaLevel (mm),CAN SeaLevel (mm),USA SeaLevel (mm),USC SeaLevel (mm)
1961,Jan,7291.44,,6890.32,7145.4,,7055,6726.7,7405,7128.89,6874,6809,7064.88,7015.84,6987.42,6993.4
1961,Feb,7241.67,,6976.14,7164.2,,6995,6932.8,7270,7121.76,6908.23,6834.33,7003.5,7064.05,7013.48,7024.13
1961,Mar,7190.22,,7031.96,7186.8,,6985,6966.6,7220,7059.41,6975,6923,6976.88,7035.8,7043.47,7041.85
1961,Apr,7048.78,,7055.23,6955.2,,6995,7344,7370,6947.51,6952.77,6930,6949.75,7100.79,7003.4,7023.9
1961,May,7035.11,,7009.41,6978.4,,6905,7184,7360,6961.49,6987.69,6962.67,6928.63,7052.4,6992.87,7005.4
1961,Jun,7089.67,,6994.77,6986.8,,6925,6974.4,7440,7087.67,6979.85,6939,7003.13,7064.13,7003.43,7016.21
1961,Jul,7078.89,,7016.77,6925.2,,6895,6932,7445,6991.33,7006,6944.33,7039.38,6995.13,7015.52,7011.22
1961,Aug,7156.78,,7000.41,6932,,6885,6838,7400,6981.11,7042,6981.67,7063.88,6956.56,7034.7,7018.25
1961,Sep,7108.67,,7053.59,6921.8,,6885,6803.2,7360,6965.11,7115.92,7248,7065.13,6934.19,7075.63,7045.86
1961,Oct,7211.33,,7051.32,6925.8,,6915,6784.8,7320,6986.71,7093.46,7121,7015.63,6939.96,7072.72,7044.77
1961,Nov,7190.11,,7003.05,6974.8,,6965,6701.4,7435,7011.76,7071.69,7097.67,7016.75,6938.3,7050.18,7026.63
1961,Dec,7182.11,,6935.82,7056.4,,7055,6722.2,7400,7081.37,6968.69,6957.33,7030.13,6987.39,7003.58,7000.17
1962,Jan,7137.33,,6869.14,6938.6,,6925,6574,7410,7011,6866.23,6783,7021,6894,6930.47,6922.79
1962,Feb,7068.67,,6959.73,7044.8,,6875,6851.2,7210,7047.35,6936.39,6853.67,7063,6985.45,6986.57,6986.33
1962,Mar,7031.56,,7067.23,7006.4,,7005,6896.2,7250,6934.81,7018.23,6953.33,6948.75,6946.83,7024.7,7008.31
1962,Apr,7053.67,,6941.23,6964.4,,6915,7247.8,7190,6943.38,6908.31,6964.33,6924.63,7052.15,6951.83,6972.95
1962,May,6996.56,,7003.27,6949.6,,6885,7097.07,7290,6930.4,6998.39,6958.67,6962.19,7002.12,6989.03,6991.78
1962,Jun,7036.33,,7015.64,6908.4,,6885,6778,7430,7044.33,7030.23,6965.67,6985.38,6975.25,7006.43,6999.87
1962,Jul,7045.89,,7029.68,6885.4,,6945,6757.4,7400,6967.3,7016.31,6864,7028.63,6927.35,7008.77,6991.63
1962,Aug,7123.67,,7036.55,6934,,6895,6696,7400,6991,7065.08,6926,7059.69,6918.38,7044.81,7018.19
1962,Sep,7144.22,,7044.23,6966,,6905,6641.4,7390,6993.59,7108.69,7071.33,7093.88,6902.77,7074.65,7038.47
1962,Oct,7270.78,,7054.55,7027.07,,6975,6755.4,7360,7069.25,7080.62,7038.67,7097.06,6983.46,7095.21,7071.69
1962,Nov,7309.22,,7053.82,7069.27,,6995,6784.6,7340,7108.62,7024.15,6981.67,7014.56,7014.72,7078.15,7064.79
1962,Dec,7239.67,,6947.55,7085.53,,6965,6613.3,7440,7122.1,6941.23,6863,7044.75,6973.15,7010.23,7002.42
1963,Jan,7097.22,,6907.46,6933.47,,6965,6691.8,7390,6976.56,6936.85,6840.67,7029.5,6912.69,6957.39,6947.98
1963,Feb,7190.11,,6831.27,7058.67,,6935,6573.6,7305,7084.49,6877.08,6773.67,7060.75,6929.28,6941.69,6939.08
1963,Mar,7040,,6954.68,7011,,6845,6743.8,7230,6950.21,6869.31,6868,6966.25,6896.62,6950.88,6939.46
1963,Apr,7058.22,,6964.39,7050.6,,6935,7271.6,7230,7025.92,6924.46,6938.33,6979.25,7109.77,6977.68,7005.48
1963,May,7047.89,,6949.73,6960.8,,6795,6913.33,7250,6978.3,6959.62,6905.67,6974.13,6963.52,6968.57,6967.51
1963,Jun,7064.78,,7004.25,6936.2,,6885,6725.8,7330,7076.56,6972,6905.67,7022.5,6970.81,6998.18,6992.42
1963,Jul,7096.22,,7005.91,6949.2,,6925,6661.8,7310,7038.04,6971.69,6861.67,7059.63,6930.4,7007.27,6991.08
1963,Aug,7100.44,,6988.43,6925.6,,6905,6690.2,7370,6986.56,7000.85,6855,7078.25,6912.81,7007.99,6987.95
1963,Sep,7210.33,,7037.27,6996.3,,6915,6651.8,7430,7036.74,7126,7071.33,7130.88,6933.42,7093.23,7059.58
1963,Oct,7355.89,,6986.86,7049.53,,6975,6650.4,7480,7126.24,7080.31,7072,7076.38,6990.2,7083.88,7064.16
1963,Nov,7282,,7024.05,7126.53,,7015,6969,7560,7153.7,7008.08,7013,7079.88,7112.71,7074.71,7082.71
1963,Dec,7266.56,,6877.23,7085.07,,6995,6685.8,7480,7128.94,6873.62,6815.33,7065.5,7004.03,6974.17,6980.46
1964,Jan,7264.39,,6918.77,7158.53,,6985,6775.2,7420,7186.56,6849.15,6739,7044.38,7060,6983.27,6999.42
1964,Feb,7122.5,,6895.64,6913.53,,6945,6738.2,7400,6923.86,6838.54,6766.67,6956.63,6896.92,6920.47,6915.51
1964,Mar,7046.72,,6949.23,7002.6,,6855,6905.6,7190,6938.94,6881.77,6865,6924,6938.96,6946.11,6944.6
1964,Apr,7011.72,,6911.86,6869.8,,6725,6857,7200,6868.46,6905.62,6921.67,6890.75,6876.63,6919.66,6910.6
1964,May,6987.2,,6976.14,6874,,6895,6872.8,7400,6887.98,6993.85,7006.33,6905.13,6915.68,6965.16,6954.75
1964,Jun,7045.33,,6979.96,6954,,6885,6706.6,7360,7069.89,6987.08,6922.67,6954.5,6962.94,6982.88,6978.68
1964,Jul,7102.56,,6998.55,6937.4,,6885,6666.6,7270,7023.22,6951.92,6843.33,6981.75,6918.56,6988.95,6974.13
1964,Aug,7147.85,,7017.46,6944.8,,6905,6592.8,7390,7014.33,7027.85,6944.33,7064,6899.25,7035.76,7007.02
1964,Sep,7109.67,,7044,6934,,6945,6495,7500,6976.56,7137.08,7103.33,7059.5,6856.81,7069.88,7025.03
1964,Oct,7254.39,,7015.91,6960,,6925,6579.2,7530,7013.22,7089.15,7061,7036.25,6904.38,7067.86,7033.44
1964,Nov,7191.22,,7006.68,7052,,7005,6581.6,7510,7057.67,7009.46,7001,7020.38,6933.88,7040.28,7017.88
1964,Dec,7198.61,,6919.86,7177.6,,6925,6666.2,7290,7148.78,6940.54,6952.33,7047.25,6992.81,7006.24,7003.42
1965,Jan,7172.5,,6939.68,7165,,7015,6581,7370,7113.22,6918.54,6855.67,7042.13,6956.81,6998.26,6989.53
